scope,key,en-US,fr-FR,ru-RU,comment
MainFrm,$this.Text,,Système plieuse bidirectionnelle intelligente JINGGONG (V1.0),Интеллектуальная двунаправленная гибочная система JINGGONG (V1.0),
MainFrm,btnFeed.Text,,Alimentation automatique,Автоматическая подача,
MainFrm,btnMsgClr.Text,,Effacer,Очистить,
MainFrm,btn保存.Text,,Enregistrer,Сохранить,
MainFrm,btn发送到半自动.Text,,"Envoyer à

Semi-automatique",Отправить в полуавтомат,
MainFrm,btn另存为.Text,,Enregistrer sous,Сохранить как,
MainFrm,btn导航_分条.Text,,Refendre,Разрезка на полосы,
MainFrm,btn导航_库.Text,,Bibliothèque,Библиотека,
MainFrm,btn导航_手动.Text,,Manuel,Ручной,
MainFrm,btn导航_自动.Text,,Automatique,Автоматический,
MainFrm,btn导航_设置.Text,,Paramètres,Настройки,
MainFrm,btn手动强制.Text,,"Manuel

Forcé",Ручное принудительное,
MainFrm,btn折弯预览.Text,,"  Cintrage

Aperçu",Предпросмотр гибки,
MainFrm,btn撤消.Text,,Annuler,Отменить,
MainFrm,btn条款确定.Text,,Valider,OK,
MainFrm,btn构图完成.Text,,Terminé,Завершить,
MainFrm,btn登录.Text,,OK,OK (повтор),
MainFrm,btn重复.Text,,Répéter,Повторить,
MainFrm,btn重置视图.Text,,"  Réinitialiser

Vue",Сбросить вид,
MainFrm,btn颜色侧翻.Text,,"Couleur

Retournement",Цветовой боковой переворот,
MainFrm,label10.Text,,[mm],[mm],
MainFrm,label11.Text,,MT5,MT5,
MainFrm,label13.Text,,[mm],[mm],
MainFrm,label14.Text,,[mm],[mm],
MainFrm,label15.Text,,MT6,MT6,
MainFrm,label16.Text,,[mm],[mm],
MainFrm,label17.Text,,MT7,MT7,
MainFrm,label18.Text,,[mm],[mm],
MainFrm,label20.Text,,l,l,
MainFrm,label21.Text,,MT8,MT8,
MainFrm,label22.Text,,|,|,
MainFrm,label23.Text,,[mm],[mm],
MainFrm,label24.Text,,MT9,MT9,
MainFrm,label25.Text,,[mm],[mm],
MainFrm,label28.Text,,MPa,MPa,
